customer_id,institution_type,region,product_tier,account_age_months,monthly_transaction_volume,avg_transaction_value,api_calls_per_month,num_active_users,revenue_monthly,support_tickets_6m,support_tier,days_since_last_login,feature_adoption_score,payment_method,payment_delay_days,contract_months_remaining,num_integrations,churn
INST_00101,Investment Firm,Europe,Professional,1,4023,523.69,9454,51,2533.56,9,Standard,32,47.0,Wire Transfer,3,18,6,1
INST_00102,Bank,Europe,Enterprise,4,12532,3272.05,4171,2620,8515.36,11,Priority,3,70.0,ACH,5,20,7,0
INST_00103,Credit Union,North America,Professional,19,475,390.84,14260,517,500.0,9,Priority,3,78.6,Wire Transfer,5,2,4,0
INST_00104,Payment Processor,North America,Professional,48,1954,296.41,28994,505,17042.75,7,Standard,5,81.1,ACH,0,25,4,0
INST_00105,Bank,North America,Basic,51,2495,249.69,32032,49,1002.2,6,Priority,0,89.4,Wire Transfer,4,26,3,0
INST_00106,Credit Union,North America,Basic,1,1378,61.99,107370,10000,26468.8,9,Priority,1,78.2,Credit Card,3,23,6,0
INST_00107,Insurance Company,North America,Professional,13,11495,892.13,156523,67,95839.82,7,Standard,2,50.9,Credit Card,2,16,3,0
INST_00108,Bank,Asia Pacific,Professional,20,1011,355.46,36476,41,557.58,5,Standard,0,86.5,Credit Card,0,0,2,1
INST_00109,Bank,Middle East,Basic,3,1295,743.91,47842,529,4557.56,7,Standard,2,64.6,ACH,0,23,3,0
INST_00110,Bank,Middle East,Basic,34,1027,3678.48,25411,210,995.63,9,Priority,5,66.6,Wire Transfer,3,27,3,0
INST_00111,Bank,Latin America,Basic,32,15337,252.42,69622,34,500.0,7,Premium,0,59.6,Wire Transfer,0,13,3,0
INST_00112,Payment Processor,Europe,Professional,56,1424,50.0,45728,7727,4190.26,4,Priority,5,60.2,Credit Card,6,14,6,0
INST_00113,Insurance Company,Asia Pacific,Professional,1,5943,718.59,20297,859,12743.17,5,Priority,11,45.2,ACH,7,6,13,1
INST_00114,Investment Firm,North America,Basic,5,57731,492.86,555694,149,15238.81,11,Standard,1,67.9,Credit Card,1,23,5,1
INST_00115,Payment Processor,Europe,Basic,42,2664,167.51,9708,10000,6191.23,4,Priority,22,54.3,ACH,4,27,7,1
INST_00116,Insurance Company,Europe,Basic,26,15805,649.84,195181,638,500.0,6,Standard,3,94.5,ACH,0,21,6,0
INST_00117,Bank,Europe,Professional,53,36571,1036.2,2888,145,5913.94,6,Priority,4,75.6,Credit Card,11,23,2,0
INST_00118,Payment Processor,Asia Pacific,Basic,1,13915,129.55,74639,9014,523.84,5,Standard,5,77.8,Credit Card,4,31,9,1
INST_00119,Credit Union,North America,Professional,21,2906,281.01,190013,485,577.97,9,Standard,3,36.4,Credit Card,2,33,5,0
INST_00120,Insurance Company,North America,Basic,20,7810,2373.46,1260,449,1101.88,8,Priority,7,49.3,ACH,4,24,2,1
INST_00121,Payment Processor,Latin America,Basic,1,432,169.7,27130,74,23735.26,8,Standard,1,76.6,Wire Transfer,2,6,5,0
INST_00122,Bank,North America,Enterprise,17,925,437.03,64416,162,11135.38,4,Priority,17,49.8,ACH,0,4,8,0
INST_00123,Bank,Europe,Professional,22,1203,50.0,32142,70,7973.56,4,Priority,14,65.1,Wire Transfer,1,30,4,0
INST_00124,Bank,Latin America,Basic,5,85898,68.16,38841,1981,1347.6,10,Priority,7,46.8,Wire Transfer,0,23,5,1
INST_00125,Credit Union,Europe,Enterprise,7,881,487.37,27020,8,2747.2,4,Premium,10,61.0,ACH,7,7,2,0
INST_00126,Insurance Company,Europe,Professional,24,861,1760.91,4266,1734,629.43,6,Priority,8,64.4,ACH,16,7,3,0
INST_00127,Payment Processor,North America,Enterprise,15,622,78.69,768402,30,38042.22,8,Standard,4,80.5,ACH,1,1,7,0
INST_00128,Bank,North America,Professional,46,6903,441.19,10349,133,132705.41,10,Standard,1,83.8,Invoice,6,18,5,0
INST_00129,Credit Union,Latin America,Professional,10,3692,257.02,42245,87,11326.47,12,Priority,2,81.7,Wire Transfer,3,4,4,0
INST_00130,Credit Union,Europe,Enterprise,7,15216,1266.11,8347,58,14729.85,6,Standard,15,85.4,ACH,0,13,3,0
INST_00131,Bank,Europe,Basic,100,8159,93.56,725,513,3872.13,6,Standard,7,35.0,Wire Transfer,18,7,5,1
INST_00132,Bank,North America,Professional,58,375,675.93,5504,147,500.0,7,Standard,14,50.2,ACH,16,26,6,0
INST_00133,Bank,North America,Professional,1,888,184.12,2511,44,1385.83,10,Standard,14,93.0,Wire Transfer,11,0,8,1
INST_00134,Payment Processor,Middle East,Basic,35,23109,527.23,113249,195,2445.3,9,Premium,5,61.2,Wire Transfer,1,13,6,0
INST_00135,Bank,North America,Basic,2,2197,438.22,8863,42,2757.6,6,Standard,4,69.0,Credit Card,0,1,8,1
INST_00136,Credit Union,Europe,Basic,1,17701,298.23,10186,56,1952.59,14,Standard,3,87.5,ACH,1,1,6,1
INST_00137,Insurance Company,North America,Professional,7,2381,715.78,4462,10,5279.73,11,Standard,4,89.2,Wire Transfer,6,3,4,0
INST_00138,Credit Union,Asia Pacific,Professional,7,698,425.13,25363,65,1372.99,9,Standard,20,76.2,Credit Card,3,9,6,1
INST_00139,Payment Processor,Latin America,Professional,41,1891,344.0,7519,361,126954.77,7,Standard,1,75.4,Wire Transfer,12,28,3,0
INST_00140,Payment Processor,Europe,Basic,29,697,263.04,97590,158,633.93,7,Standard,1,57.7,Wire Transfer,0,19,3,1
INST_00141,Bank,North America,Professional,95,1276,442.8,34650,3893,18600.88,6,Priority,3,52.0,Wire Transfer,16,5,6,0
INST_00142,Credit Union,Europe,Enterprise,29,4029,526.61,9341,10000,3318.33,16,Priority,11,57.7,ACH,15,14,6,0
INST_00143,Bank,Asia Pacific,Professional,13,6421,123.1,78853,64,9839.86,7,Priority,13,64.8,ACH,7,32,4,0
INST_00144,Bank,Europe,Professional,28,274,265.24,22290,33,10531.99,12,Standard,12,65.7,Credit Card,3,15,6,0
INST_00145,Bank,Latin America,Professional,120,2904,113.72,22748,1134,6220.25,7,Standard,6,90.3,Wire Transfer,2,34,6,0
INST_00146,Investment Firm,Europe,Professional,29,1236,384.59,2455,271,897.8,10,Standard,13,56.1,Wire Transfer,15,33,4,0
INST_00147,Credit Union,Latin America,Professional,34,1127,198.19,19798,1146,2986.75,4,Priority,1,39.2,ACH,5,14,6,0
INST_00148,Bank,Europe,Enterprise,66,3637,1017.33,35678,304,6333.72,10,Standard,6,90.3,Wire Transfer,7,23,6,0
INST_00149,Bank,North America,Professional,2,1305,904.4,162811,104,5765.52,7,Standard,2,51.8,Wire Transfer,8,28,4,0
INST_00150,Payment Processor,North America,Enterprise,29,23699,133.31,7130,105,1059.23,4,Standard,2,78.6,Wire Transfer,9,6,3,0
INST_00151,Bank,North America,Basic,45,17713,402.31,671428,323,34092.02,7,Priority,0,54.4,Wire Transfer,3,19,7,1
INST_00152,Bank,Latin America,Basic,74,17548,868.02,50782,101,500.0,9,Priority,3,55.5,Credit Card,15,3,2,1
INST_00153,Credit Union,Asia Pacific,Basic,5,1418,326.89,2254,1332,3377.24,7,Priority,0,98.5,Wire Transfer,1,18,3,1
INST_00154,Payment Processor,Asia Pacific,Professional,16,703,168.37,6199,14,1234.01,11,Priority,3,73.1,Wire Transfer,7,4,4,0
INST_00155,Bank,North America,Professional,27,3371,108.76,185627,1320,6459.12,7,Standard,4,68.3,Credit Card,0,27,4,0
INST_00156,Investment Firm,North America,Basic,6,2379,1124.53,142179,5,22586.07,6,Priority,3,96.4,ACH,2,22,4,0
INST_00157,Insurance Company,Asia Pacific,Basic,22,1196,1191.84,22632,192,595.59,12,Standard,10,69.6,Credit Card,2,23,6,0
INST_00158,Bank,Europe,Enterprise,7,511,314.34,27580,81,167779.83,7,Premium,2,49.0,Wire Transfer,4,8,7,1
INST_00159,Insurance Company,North America,Enterprise,9,2800,1011.68,3839,9,6652.67,8,Standard,0,48.0,Credit Card,0,21,5,1
INST_00160,Credit Union,Europe,Professional,13,1626,50.0,159877,3,8713.13,7,Premium,1,64.5,ACH,2,26,4,0
INST_00161,Investment Firm,North America,Professional,18,8370,1984.39,5005,20,567.01,8,Standard,12,61.5,ACH,1,11,4,1
INST_00162,Investment Firm,North America,Professional,14,8084,334.18,78206,161,4583.18,10,Priority,7,47.0,Credit Card,3,34,4,0
INST_00163,Credit Union,Europe,Professional,16,15540,478.25,167386,50,21110.21,6,Premium,6,76.5,Credit Card,6,13,9,0
INST_00164,Bank,North America,Enterprise,8,450,274.62,23676,22,6733.72,9,Priority,5,59.7,Credit Card,0,12,7,1
INST_00165,Insurance Company,Middle East,Basic,4,5440,2153.5,94034,1692,6065.02,2,Standard,9,91.8,Invoice,5,13,5,0
INST_00166,Bank,North America,Professional,1,1001,112.97,352025,16,4546.94,8,Standard,1,36.6,Wire Transfer,2,32,3,1
INST_00167,Bank,North America,Professional,5,477,2366.94,32923,503,622.04,5,Priority,1,82.7,Invoice,1,11,4,1
INST_00168,Bank,North America,Professional,20,1567,649.06,16933,29,616.73,12,Priority,0,37.6,Invoice,2,22,7,0
INST_00169,Investment Firm,Asia Pacific,Professional,37,14809,851.67,19924,19,28395.63,7,Standard,2,78.3,Wire Transfer,9,9,7,0
INST_00170,Investment Firm,Europe,Professional,4,1705,271.77,7226,50,18461.27,8,Standard,2,91.0,Credit Card,0,27,6,1
INST_00171,Bank,Europe,Basic,2,31200,83.94,6985,452,23049.67,9,Standard,17,56.6,ACH,4,35,6,1
INST_00172,Credit Union,North America,Professional,33,6790,1232.27,42770,12,1430.49,10,Premium,0,60.7,ACH,6,35,6,0
INST_00173,Bank,North America,Basic,8,1650,586.22,17224,248,3880.22,7,Premium,4,91.1,Credit Card,4,4,5,0
INST_00174,Investment Firm,Europe,Basic,72,16984,2067.2,36002,26,31185.24,7,Premium,9,89.7,Wire Transfer,3,29,5,0
INST_00175,Bank,Asia Pacific,Basic,30,5814,319.73,2356,36,778.23,11,Priority,16,49.0,ACH,4,23,3,0
INST_00176,Investment Firm,Latin America,Professional,9,735,243.94,19169,305,26764.28,12,Premium,23,79.4,Wire Transfer,2,27,2,1
INST_00177,Credit Union,North America,Professional,8,48445,2133.9,103277,7422,2039.01,10,Standard,0,89.1,ACH,2,13,5,0
INST_00178,Payment Processor,Europe,Professional,17,4399,4000.89,4111,28,1362.6,8,Standard,1,91.9,Invoice,2,12,9,0
INST_00179,Bank,Latin America,Professional,1,3066,407.98,22579,542,4685.02,13,Standard,48,80.6,Credit Card,4,15,5,1
INST_00180,Bank,North America,Professional,3,826,163.48,1363,84,920.11,3,Standard,2,49.2,Wire Transfer,10,35,8,1
INST_00181,Bank,Asia Pacific,Professional,4,17488,1067.03,3108,63,500.0,10,Standard,0,81.7,Credit Card,3,5,10,1
INST_00182,Payment Processor,North America,Professional,35,6476,297.43,73975,1020,5508.48,6,Standard,18,27.9,Wire Transfer,2,33,6,0
INST_00183,Payment Processor,Latin America,Professional,17,7660,828.08,13850,32,10953.33,9,Standard,3,77.0,Credit Card,5,19,8,0
INST_00184,Bank,Asia Pacific,Professional,1,1392,295.56,338781,18,30422.42,3,Standard,2,73.2,Credit Card,1,23,8,1
INST_00185,Investment Firm,Latin America,Professional,26,10416,2635.47,42136,339,12215.51,8,Premium,1,70.4,Credit Card,11,3,6,0
INST_00186,Insurance Company,Asia Pacific,Enterprise,13,11704,174.27,48819,2619,93722.71,8,Standard,3,74.2,ACH,7,29,8,0
INST_00187,Investment Firm,North America,Enterprise,17,1093,718.12,4382,572,37858.56,10,Priority,3,64.4,Wire Transfer,2,3,8,0
INST_00188,Credit Union,Latin America,Basic,5,355,224.43,12361,11,14870.25,4,Priority,18,73.1,Wire Transfer,1,24,3,0
INST_00189,Bank,North America,Basic,19,7129,287.78,7339,49,9926.15,3,Priority,1,72.9,Credit Card,5,22,4,0
INST_00190,Bank,North America,Professional,92,281,246.05,4455,865,31105.92,4,Priority,0,69.0,ACH,15,35,5,0
INST_00191,Payment Processor,Asia Pacific,Professional,1,3744,978.8,59625,2555,500.0,10,Priority,2,92.5,Credit Card,10,31,5,0
INST_00192,Payment Processor,Asia Pacific,Basic,8,1524,1214.44,80561,224,2392.07,4,Standard,5,78.7,ACH,0,13,6,0
INST_00193,Investment Firm,Latin America,Enterprise,6,18545,787.83,40070,52,500.0,6,Priority,2,86.9,ACH,1,32,7,0
INST_00194,Bank,North America,Basic,6,1653,354.4,6360,2872,13288.4,6,Priority,2,86.7,Credit Card,5,2,6,1
INST_00195,Bank,Asia Pacific,Enterprise,11,15692,477.33,36173,129,1613.01,6,Standard,3,52.5,ACH,3,9,5,0
INST_00196,Insurance Company,Asia Pacific,Professional,40,1378,1184.72,1250,49,455649.76,12,Standard,14,67.7,Credit Card,1,33,4,0
INST_00197,Payment Processor,North America,Professional,58,13359,1230.5,160253,36,2259.98,7,Priority,7,89.1,Credit Card,10,19,4,0
INST_00198,Payment Processor,North America,Basic,5,65546,50.0,3142,17,5764.91,9,Priority,5,84.7,Credit Card,16,10,2,1
INST_00199,Insurance Company,North America,Basic,18,600,291.0,4102,10000,2688.13,7,Priority,3,93.8,Invoice,2,6,2,0
INST_00200,Investment Firm,North America,Professional,24,4619,308.24,26184,1915,2360.79,3,Standard,0,76.2,ACH,4,14,4,0
INST_00201,Bank,Middle East,Basic,17,184088,900.64,29918,45,757.65,9,Premium,15,54.7,Credit Card,2,33,4,0
INST_00202,Bank,Europe,Professional,13,3294,372.37,19749,3351,720.38,4,Standard,0,74.4,Credit Card,1,33,3,1
INST_00203,Payment Processor,Asia Pacific,Professional,5,3270,956.25,4166,387,500.0,6,Standard,1,39.8,Credit Card,11,22,5,1
INST_00204,Investment Firm,Middle East,Basic,16,9727,110.57,120574,348,11138.84,6,Priority,4,83.9,ACH,2,3,2,0
INST_00205,Bank,North America,Basic,12,3170,551.18,1756,40,2599.38,11,Standard,1,73.3,ACH,0,15,5,1
INST_00206,Bank,Asia Pacific,Professional,38,230,1188.26,2380,58,89361.24,3,Standard,7,73.8,Wire Transfer,1,20,6,0
INST_00207,Investment Firm,Europe,Basic,34,16292,68.77,18760,137,760.36,10,Premium,4,86.9,ACH,2,26,3,0
INST_00208,Bank,Latin America,Basic,3,147,8236.84,3306,4,45002.43,12,Standard,4,96.6,Wire Transfer,0,32,7,1
INST_00209,Bank,North America,Professional,2,1595,1684.23,137852,61,51968.29,7,Priority,23,76.7,ACH,6,35,5,0
